transect	T01d	T01s	T07d	T07s	T13d	T13s	T19d	T19s	T25d	T25s	T37d	T37s	T43d	T43s	T49d	T49s	T55d	T55s	T61d	T61s	T67d	T67s	T71d	T71s	T75d	T75s	T79d	T79s	T04d	T04s	T16d	T16s	T10s	T22d	T22s	T28d	T28s	T34d	T34s	T40d	T40s	T46d	T46s	T51d	T51s	T58d	T58s	T64d	T64s	T69s	T73d	T73s	T77d	T77s	T81d	T81s
Astreopora (ASTR)	0	0	0,801603206	0	0	0,203665988	0,8	0	0	0	2,626262626	4,2	0,422832981	0	7,014028056	0,446428571	0,8	0	0	0	1,002004008	0,8	0,200803213	0,601202405	0	0,2	0	1,40562249	0	0	0,501002004	0,100300903	0	0,301204819	0,501504514	0,100502513	1,5	0	0,301507538	0	0,428724544	0	0,338983051	0	0,100603622	0	0	0,8	0,8	0,363636364	0	1,20240481	0,610997963	1,204819277	0	0
Branching Hard Coral Unident (CB)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coscinaraea (COSC)	0	0	0	0	0	0,610997963	0,2	0,235294118	0	0	0,404040404	0,4	0,634249471	0	0	0	0	0	0	0	0	0	0	0,400801603	0	0	0	0	0	0	0	0	0	0	0	0	0,1	0,100300903	0	0	0	0,102986612	0	0	0	0	0	0	0	0,363636364	0	0	0	0	0	0
Cycloseris (CYCL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cynarina (CYAN)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,200803213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyphastrea (CYPH)	0	0	0	0	0,200400802	0	0	0,235294118	0	0	0	0	0,21141649	0	0	0	0	0,631578947	0	0	0	0	0	0	0,200400802	0	0	0	0,100502513	0	0	0	0	0	0	0,100502513	0	0,601805416	0	0	0	0	0	0	0	0	0	0	0	0	0,401606426	0	0,203665988	0	0	0,2
Diaseris (DIAS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echinophyllia (ECHIPH)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0,407331976	0	0	0
Echinopora (ECHIO)	5,846774194	6,012024048	0,801603206	1	0	0,814663951	2,2	1,647058824	0,2	2,805611222	0	0	0,422832981	0	0	0	1	4,631578947	3	0	9,418837675	1,2	2,008032129	0,200400802	2,004008016	2,4	1,642710472	0	0,804020101	0,744680851	1,30260521	0,802407222	0	6,124497992	7,221664995	0	0,8	1,905717151	0	1,20240481	0	3,089598352	0,11299435	0,200601805	0,201207243	2,2	2,02020202	0	0	0	1,807228916	0,200400802	3,258655804	1,204819277	1,004016064	3
Encrusting Hard Coral Unident (CE)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,11299435	0	0	0	0	0	0	0	0	0	0	0	0	0
Favia (FAVA)	0,806451613	0,200400802	0,400801603	0	0	0,203665988	0,8	0,941176471	0,2	0,200400802	0	0,6	0,21141649	0	0	0	0,6	0	1	0,2	0,400801603	1	0,602409639	0,601202405	0,400801603	0,2	1,642710472	0,602409639	0,100502513	0,744680851	0,300601202	0,200601805	0	1,606425703	0,200601805	0	3,2	0,200601805	0	0,801603206	0	1,235839341	0	0	0,100603622	0,8	0,202020202	0,4	0,6	0	1,40562249	0	3,054989817	0	3,614457831	1,2
